region,christian,muslim,country,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
N’Zérékoré,.46677026,.44545344,28,2421509,1,Faboridougou,8.3500004,-8.4499998,PPL,6295630|6255146|GN|N|2423124|2421509,Earth|Africa|Guinea|Nzerekore Region|Beyla Prefecture|Faboridougou,2,1
Hhohho,.90436029,0,30,11127718,1,Mpolonjeni,-26.55497,31.869011,PPL,6295630|6255146|SZ|02|11127718,Earth|Africa|Swaziland|Lubombo District|Mpolonjeni,2,1
Manzini,.91366351,0,30,11128352,3,Ludzeludze Inkhundla,-26.397079,31.314091,ADM2,6295630|6255146|SZ|03|11128352,Earth|Africa|Swaziland|Manzini District|Ludzeludze Inkhundla,1,1
Shiselweni,.94372612,0,30,11127725,3,Ngudzeni,-27.03583,31.551109,ADM2,6295630|6255146|SZ|04|11127725,Earth|Africa|Swaziland|Shiselweni District|Ngudzeni,1,1
Lubombo,.91103256,0,30,935040,1,Lubuli,-27.01667,31.9,PPL,6295630|6255146|SZ|00,Earth|Africa|Swaziland|Lubuli,2,1
Adrar,0,1,31,2477145,3,DaÃ¯ra de TÃ©nÃ¨s,36.416672,1.25,ADM2,6295630|6255146|DZ|41|2477145,Earth|Africa|Algeria|Chlef|DaÃ¯ra de TÃ©nÃ¨s,1,1
Chlef,0,1,31,2508287,1,AÃ¯n BeÃ¯da,35.796391,7.3927798,PPL,6295630|6255146|DZ|29|2508287,Earth|Africa|Algeria|Oum el Bouaghi|AÃ¯n BeÃ¯da,2,1
Laghouat,0,1,31,2485624,1,Oued el Ma,35.645248,5.9960499,PPL,6295630|6255146|DZ|03|2485624,Earth|Africa|Algeria|Batna|Oued el Ma,2,1
Oum el-Bouaghi,0,1,31,2507413,1,Aliouene,36.614262,5.2456799,PPL,6295630|6255146|DZ|18|2507413,Earth|Africa|Algeria|BÃ©jaÃ¯a|Aliouene,2,1
Batna,0,1,31,2503826,1,Biskra,34.85038,5.7280502,PPLA,6295630|6255146|DZ|19|2503826,Earth|Africa|Algeria|Biskra|Biskra,2,1
Bejaia,0,1,31,2504622,1,Beni Mered,36.523891,2.86131,PPL,6295630|6255146|DZ|20|2504622,Earth|Africa|Algeria|Blida|Beni Mered,2,1
Biskra,0,1,31,11205098,1,Aghbalou,36.4212,4.3547001,PPL,6295630|6255146|DZ|21|11205098,Earth|Africa|Algeria|Bouira|Aghbalou,2,1
Bechar,0,1,31,2477461,1,TÃ©bessa,35.404171,8.1241703,PPLA,6295630|6255146|DZ|33|2477461,Earth|Africa|Algeria|TÃ©bessa|TÃ©bessa,2,1
Blida,0,1,31,2508225,1,âAÃ¯n Deheb,34.842178,1.54697,PPL,6295630|6255146|DZ|13|2508225,Earth|Africa|Algeria|Tiaret|âAÃ¯n Deheb,2,1
Bouria,0,1,31,11204924,3,Akbil,36.504532,4.2789402,ADM3,6295630|6255146|DZ|14|11204924,Earth|Africa|Algeria|Tizi Ouzou|Akbil,1,1
Tamanghasset,0,1,31,2503847,1,Birkhadem,36.714989,3.05002,PPL,6295630|6255146|DZ|01|2503847,Earth|Africa|Algeria|Algiers|Birkhadem,2,1
Tebessa,0,1,31,2500017,1,Djelfa,34.672791,3.263,PPLA,6295630|6255146|DZ|22|2500017,Earth|Africa|Algeria|Djelfa|Djelfa,2,1
Tlemcen,0,1,31,2492913,1,Jijel,36.820549,5.7667098,PPLA,6295630|6255146|DZ|24|2492913,Earth|Africa|Algeria|Jijel|Jijel,2,1
Tiaret,0,1,31,2507978,3,AÃ¯n Oulmene,35.916672,5.3000002,ADM2,6295630|6255146|DZ|12|2507978,Earth|Africa|Algeria|SÃ©tif|AÃ¯n Oulmene,1,1
Tizi Ouzou,0,1,31,2589581,6,Algeria,28,3,PCLI,6295630|6255146|DZ,Earth|Africa|Algeria,1,1
Algeris,0,1,31,2505914,4,Commune dâAzzaba,36.73333,7.0999999,ADMD,6295630|6255146|DZ|31|2505914,Earth|Africa|Algeria|Skikda|Commune dâAzzaba,1,1
Djelfa,0,1,31,2504950,1,Ben Badis,34.952339,-.91609001,PPL,6295630|6255146|DZ|30|2504950,Earth|Africa|Algeria|Sidi Bel AbbÃ¨s|Ben Badis,2,1
Jijel,0,1,31,2506999,1,Annaba,36.900002,7.7666702,PPLA,6295630|6255146|DZ|37|2506999,Earth|Africa|Algeria|Annaba|Annaba,2,1
Setif,0,1,31,2495662,1,Guelma,36.462139,7.4260802,PPLA,6295630|6255146|DZ|23|2495662,Earth|Africa|Algeria|Guelma|Guelma,2,1
Saida,0,1,31,2494610,1,Hamma Bouziane,36.412048,6.5960302,PPL,6295630|6255146|DZ|04|2494610,Earth|Africa|Algeria|Constantine|Hamma Bouziane,2,1
Skikda,0,1,31,2589581,6,Algeria,28,3,PCLI,6295630|6255146|DZ,Earth|Africa|Algeria,1,1
Sidi Bel Abbes,0,1,31,2481196,1,Sidi Ali,36.097321,.42221999,PPL,6295630|6255146|DZ|07|2481196,Earth|Africa|Algeria|Mostaganem|Sidi Ali,2,1
Annaba,0,1,31,2504175,1,Berhoum,35.654549,5.0338602,PPL,6295630|6255146|DZ|27|2504175,Earth|Africa|Algeria|M'Sila|Berhoum,2,1
Guelma,0,1,31,2490098,1,Mascara,35.396641,.14026999,PPLA,6295630|6255146|DZ|26|2490098,Earth|Africa|Algeria|Mascara|Mascara,2,1
Constantine,0,1,31,2482886,1,Rouissat,31.924271,5.3501801,PPL,6295630|6255146|DZ|50|2482886,Earth|Africa|Algeria|Ouargla|Rouissat,2,1
Medea,0,1,31,2508174,1,AÃ¯n el Bya,35.80389,-.30177999,PPL,6295630|6255146|DZ|09|2508174,Earth|Africa|Algeria|Oran|AÃ¯n el Bya,2,1
Mostaganem,0,.98040897,31,2503701,1,Bordj Bou Arreridj,36.073212,4.7610798,PPLA,6295630|6255146|DZ|39|2503701,Earth|Africa|Algeria|Bordj Bou ArrÃ©ridj|Bordj Bou Arreridj,2,1
M’Sila,0,1,31,2474633,1,Zemmouri,36.785278,3.60361,PPL,6295630|6255146|DZ|40|2474633,Earth|Africa|Algeria|Boumerdes|Zemmouri,2,1
Mascara,0,1,31,2497988,1,El Kala,36.895561,8.4433298,PPL,6295630|6255146|DZ|44|2497988,Earth|Africa|Algeria|El Tarf|El Kala,2,1
Ouargla,0,1,31,2500282,1,Djamaa,33.533878,5.9930601,PPL,6295630|6255146|DZ|50|2500282,Earth|Africa|Algeria|Ouargla|Djamaa,2,1
Oran,0,1,31,2479215,1,Souk Ahras,36.286388,7.9511099,PPLA,6295630|6255146|DZ|52|2479215,Earth|Africa|Algeria|Souk Ahras|Souk Ahras,2,1
